pibs_payload/msg_num,pibs_payload/current_position/0,pibs_payload/current_position/1,,,pibs_payload/current_position/2,pibs_payload/wifi_qual,pibs_payload/source_id,pibs_payload/generation_time,pibs_payload/wifi_sig
13,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731229,-12
22,41.73975833,-86.09928667,circle1,red,233.7,70/70,b827eb1e211c,1539731258,-13
23,41.73975833,-86.09928667,circle1,red,233.7,70/70,b827eb1e211c,1539731261,-10
29,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731280,-8
30,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731283,-13
31,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731286,-13
32,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731289,-10
33,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731292,-12
41,41.739755,-86.09929333,circle1,red,233.4,70/70,b827eb1e211c,1539731318,-12
42,41.739755,-86.09929333,circle1,red,233.3,70/70,b827eb1e211c,1539731321,-12
43,41.73975333,-86.09929333,circle1,red,233.3,70/70,b827eb1e211c,1539731324,-12
44,41.73975333,-86.09929333,circle1,red,233.3,70/70,b827eb1e211c,1539731327,-12
45,41.73975333,-86.09929333,circle1,red,233.3,70/70,b827eb1e211c,1539731330,-13
46,41.73975333,-86.09929333,circle1,red,233.3,70/70,b827eb1e211c,1539731334,-13
47,41.73975333,-86.09929333,circle1,red,233.3,70/70,b827eb1e211c,1539731337,-12
49,41.73975333,-86.09929167,circle1,red,233.2,70/70,b827eb1e211c,1539731343,-10
50,41.73975667,-86.09928667,circle1,red,232.7,70/70,b827eb1e211c,1539731346,-11
51,41.73975667,-86.09928833,circle1,red,232.5,70/70,b827eb1e211c,1539731349,-12
52,41.73976,-86.09929,circle1,red,232.6,70/70,b827eb1e211c,1539731353,-10
53,41.73976,-86.09929333,circle1,red,232.7,70/70,b827eb1e211c,1539731356,-11
54,41.73975833,-86.09929667,circle1,red,232.7,70/70,b827eb1e211c,1539731359,-12
55,41.73975667,-86.0993,circle1,red,232.6,70/70,b827eb1e211c,1539731362,-10
56,41.739755,-86.0993,circle1,red,232.7,70/70,b827eb1e211c,1539731365,-11
57,41.73975333,-86.09929833,circle1,red,232.9,70/70,b827eb1e211c,1539731368,-11
69,41.73974333,-86.09929333,circle1,red,231.5,64/70,b827eb1e211c,1539731406,-45
72,41.73976167,-86.09938667,circle1,red,229.9,64/70,b827eb1e211c,1539731416,-56
74,41.739835,-86.099405,circle1,red,230.1,59/70,b827eb1e211c,1539731422,-48
75,41.73989,-86.09940333,circle1,red,230.3,68/70,b827eb1e211c,1539731426,-44
80,41.74013333,-86.0994,circle1,red,235.1,51/70,b827eb1e211c,1539731441,-64
81,41.74019,-86.099375,circle1,red,236.5,41/70,b827eb1e211c,1539731445,-67
82,41.74021667,-86.09937333,circle1,red,236.9,39/70,b827eb1e211c,1539731448,-61
83,41.74026333,-86.09937333,circle1,red,237.5,30/70,b827eb1e211c,1539731451,-72
84,41.74030333,-86.09937,circle1,red,237.9,36/70,b827eb1e211c,1539731454,-74
85,41.740345,-86.099375,circle1,red,238,30/70,b827eb1e211c,1539731457,-80
86,41.7404,-86.09938833,circle1,red,238.4,35/70,b827eb1e211c,1539731461,-79
87,41.74044,-86.09938667,circle1,red,238.8,27/70,b827eb1e211c,1539731464,-83
88,41.74047833,-86.09938167,circle1,red,239,26/70,b827eb1e211c,1539731467,-83
89,41.74052,-86.09938333,circle1,red,239.3,22/70,b827eb1e211c,1539731470,-88
90,41.74054667,-86.09938333,circle1,red,239.7,22/70,b827eb1e211c,1539731473,-88
91,41.74061,-86.09937833,circle1,red,240.1,24/70,b827eb1e211c,1539731476,-91
