pibs_payload/msg_num,pibs_payload/current_position/0,pibs_payload/current_position/1,,,pibs_payload/current_position/2,pibs_payload/wifi_qual,pibs_payload/source_id,pibs_payload/generation_time,pibs_payload/wifi_sig
3,41.73976,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539709516,-13
4,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539709520,-14
5,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539709523,-13
6,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731207,-15
7,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731210,-12
8,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731214,-13
9,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731217,-12
10,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731220,-10
11,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731223,-12
12,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731226,-11
13,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731229,-12
14,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731232,-14
15,41.73975833,-86.09928667,circle1,red,233.7,70/70,b827eb1e211c,1539731236,-14
16,41.73975833,-86.09928667,circle1,red,233.7,70/70,b827eb1e211c,1539731239,-12
17,41.73975833,-86.09928667,circle1,red,233.7,70/70,b827eb1e211c,1539731242,-13
18,41.73975833,-86.09928667,circle1,red,233.7,70/70,b827eb1e211c,1539731245,-9
19,41.73975833,-86.09928667,circle1,red,233.7,70/70,b827eb1e211c,1539731248,-13
20,41.73975833,-86.09928667,circle1,red,233.7,70/70,b827eb1e211c,1539731251,-11
21,41.73975833,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731255,-16
22,41.73975833,-86.09928667,circle1,red,233.7,70/70,b827eb1e211c,1539731258,-13
23,41.73975833,-86.09928667,circle1,red,233.7,70/70,b827eb1e211c,1539731261,-10
24,41.73975833,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731264,-12
25,41.73975833,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731267,-11
26,41.73975833,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731270,-11
27,41.73975833,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731274,-12
28,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731277,-9
29,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731280,-8
30,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731283,-13
31,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731286,-13
32,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731289,-10
33,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731292,-12
34,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731296,-9
35,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731299,-10
36,41.73975833,-86.09928667,circle1,red,233.6,70/70,b827eb1e211c,1539731302,-15
37,41.739755,-86.09929333,circle1,red,233.4,70/70,b827eb1e211c,1539731305,-13
38,41.739755,-86.09929333,circle1,red,233.4,70/70,b827eb1e211c,1539731308,-11
39,41.739755,-86.09929333,circle1,red,233.4,70/70,b827eb1e211c,1539731311,-12
40,41.739755,-86.09929333,circle1,red,233.4,70/70,b827eb1e211c,1539731315,-13
41,41.739755,-86.09929333,circle1,red,233.4,70/70,b827eb1e211c,1539731318,-12
42,41.739755,-86.09929333,circle1,red,233.3,70/70,b827eb1e211c,1539731321,-12
43,41.73975333,-86.09929333,circle1,red,233.3,70/70,b827eb1e211c,1539731324,-12
44,41.73975333,-86.09929333,circle1,red,233.3,70/70,b827eb1e211c,1539731327,-12
45,41.73975333,-86.09929333,circle1,red,233.3,70/70,b827eb1e211c,1539731330,-13
46,41.73975333,-86.09929333,circle1,red,233.3,70/70,b827eb1e211c,1539731334,-13
47,41.73975333,-86.09929333,circle1,red,233.3,70/70,b827eb1e211c,1539731337,-12
48,41.73975333,-86.09929333,circle1,red,233.3,70/70,b827eb1e211c,1539731340,-10
49,41.73975333,-86.09929167,circle1,red,233.2,70/70,b827eb1e211c,1539731343,-10
