pibs_payload/msg_num,pibs_payload/current_position/0,pibs_payload/current_position/1,,,pibs_payload/current_position/2,pibs_payload/wifi_qual,pibs_payload/source_id,pibs_payload/generation_time,pibs_payload/wifi_sig
3,41.73976,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539709516,-13
4,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539709520,-14
5,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539709523,-13
7,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731210,-12
8,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731214,-13
9,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731217,-12
10,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731220,-10
12,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731226,-11
13,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731229,-12
18,41.73975833,-86.09928667,circle1,red,233.7,70/70,b827eb1e211c,1539731245,-9
19,41.73975833,-86.09928667,circle1,red,233.7,70/70,b827eb1e211c,1539731248,-13
20,41.73975833,-86.09928667,circle1,red,233.7,70/70,b827eb1e211c,1539731251,-11
21,41.73975833,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731255,-16
34,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731296,-9
35,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731299,-10
36,41.73975833,-86.09928667,circle1,red,233.6,70/70,b827eb1e211c,1539731302,-15
37,41.739755,-86.09929333,circle1,red,233.4,70/70,b827eb1e211c,1539731305,-13
38,41.739755,-86.09929333,circle1,red,233.4,70/70,b827eb1e211c,1539731308,-11
39,41.739755,-86.09929333,circle1,red,233.4,70/70,b827eb1e211c,1539731311,-12
40,41.739755,-86.09929333,circle1,red,233.4,70/70,b827eb1e211c,1539731315,-13
41,41.739755,-86.09929333,circle1,red,233.4,70/70,b827eb1e211c,1539731318,-12
42,41.739755,-86.09929333,circle1,red,233.3,70/70,b827eb1e211c,1539731321,-12
45,41.73975333,-86.09929333,circle1,red,233.3,70/70,b827eb1e211c,1539731330,-13
46,41.73975333,-86.09929333,circle1,red,233.3,70/70,b827eb1e211c,1539731334,-13
47,41.73975333,-86.09929333,circle1,red,233.3,70/70,b827eb1e211c,1539731337,-12
48,41.73975333,-86.09929333,circle1,red,233.3,70/70,b827eb1e211c,1539731340,-10
49,41.73975333,-86.09929167,circle1,red,233.2,70/70,b827eb1e211c,1539731343,-10
50,41.73975667,-86.09928667,circle1,red,232.7,70/70,b827eb1e211c,1539731346,-11
51,41.73975667,-86.09928833,circle1,red,232.5,70/70,b827eb1e211c,1539731349,-12
52,41.73976,-86.09929,circle1,red,232.6,70/70,b827eb1e211c,1539731353,-10
53,41.73976,-86.09929333,circle1,red,232.7,70/70,b827eb1e211c,1539731356,-11
54,41.73975833,-86.09929667,circle1,red,232.7,70/70,b827eb1e211c,1539731359,-12
55,41.73975667,-86.0993,circle1,red,232.6,70/70,b827eb1e211c,1539731362,-10
56,41.739755,-86.0993,circle1,red,232.7,70/70,b827eb1e211c,1539731365,-11
57,41.73975333,-86.09929833,circle1,red,232.9,70/70,b827eb1e211c,1539731368,-11
58,41.73975167,-86.09929333,circle1,red,232.2,70/70,b827eb1e211c,1539731372,-14
59,41.73974833,-86.09929333,circle1,red,231.8,70/70,b827eb1e211c,1539731375,-12
60,41.73974667,-86.09929167,circle1,red,231.7,70/70,b827eb1e211c,1539731378,-11
61,41.739745,-86.09928833,circle1,red,231.6,70/70,b827eb1e211c,1539731381,-11
62,41.73974333,-86.09928833,circle1,red,231.6,70/70,b827eb1e211c,1539731384,-11
63,41.73974167,-86.09929,circle1,red,231.5,70/70,b827eb1e211c,1539731387,-12
64,41.73974167,-86.09929,circle1,red,231.5,70/70,b827eb1e211c,1539731391,-11
65,41.73974167,-86.09929,circle1,red,231.5,68/70,b827eb1e211c,1539731394,-39
66,41.73974167,-86.09929,circle1,red,231.5,70/70,b827eb1e211c,1539731397,-44
67,41.73974167,-86.09929,circle1,red,231.5,67/70,b827eb1e211c,1539731400,-40
71,41.73975,-86.09937333,circle1,red,230.5,67/70,b827eb1e211c,1539731413,-44
72,41.73976167,-86.09938667,circle1,red,229.9,64/70,b827eb1e211c,1539731416,-56
87,41.74044,-86.09938667,circle1,red,238.8,27/70,b827eb1e211c,1539731464,-83
