pibs_payload/msg_num,pibs_payload/current_position/0,pibs_payload/current_position/1,,,pibs_payload/current_position/2,pibs_payload/wifi_qual,pibs_payload/source_id,pibs_payload/generation_time,pibs_payload/wifi_sig
6,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731209,-11
7,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731212,-9
8,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731215,-12
9,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731218,-13
10,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731221,-10
11,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731225,-11
12,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731228,-12
13,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731231,-13
14,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731234,-11
15,41.73975833,-86.09928667,circle1,red,233.7,70/70,b827eb1e211c,1539731237,-13
16,41.73975833,-86.09928667,circle1,red,233.7,70/70,b827eb1e211c,1539731240,-10
17,41.73975833,-86.09928667,circle1,red,233.7,70/70,b827eb1e211c,1539731243,-10
18,41.73975833,-86.09928667,circle1,red,233.7,70/70,b827eb1e211c,1539731247,-13
19,41.73975833,-86.09928667,circle1,red,233.7,70/70,b827eb1e211c,1539731250,-16
20,41.73975833,-86.09928667,circle1,red,233.7,70/70,b827eb1e211c,1539731253,-12
21,41.73975833,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731256,-10
22,41.73975833,-86.09928667,circle1,red,233.7,70/70,b827eb1e211c,1539731259,-11
23,41.73975833,-86.09928667,circle1,red,233.7,70/70,b827eb1e211c,1539731262,-9
24,41.73975833,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731266,-11
25,41.73975833,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731269,-8
26,41.73975833,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731272,-10
27,41.73975833,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731275,-11
28,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731278,-10
29,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731281,-14
30,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731285,-12
31,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731288,-14
32,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731291,-10
33,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731294,-14
34,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731297,-16
35,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731300,-16
36,41.73975833,-86.09928667,circle1,red,233.6,70/70,b827eb1e211c,1539731304,-13
37,41.739755,-86.09929333,circle1,red,233.4,70/70,b827eb1e211c,1539731307,-13
38,41.739755,-86.09929333,circle1,red,233.4,70/70,b827eb1e211c,1539731310,-12
39,41.739755,-86.09929333,circle1,red,233.4,70/70,b827eb1e211c,1539731313,-12
40,41.739755,-86.09929333,circle1,red,233.4,70/70,b827eb1e211c,1539731316,-15
41,41.739755,-86.09929333,circle1,red,233.4,70/70,b827eb1e211c,1539731319,-12
42,41.739755,-86.09929333,circle1,red,233.3,70/70,b827eb1e211c,1539731323,-12
43,41.73975333,-86.09929333,circle1,red,233.3,70/70,b827eb1e211c,1539731326,-13
44,41.73975333,-86.09929333,circle1,red,233.3,70/70,b827eb1e211c,1539731329,-13
45,41.73975333,-86.09929333,circle1,red,233.3,70/70,b827eb1e211c,1539731332,-11
46,41.73975333,-86.09929333,circle1,red,233.3,70/70,b827eb1e211c,1539731335,-12
47,41.73975333,-86.09929333,circle1,red,233.3,70/70,b827eb1e211c,1539731338,-11
48,41.73975333,-86.09929333,circle1,red,233.3,70/70,b827eb1e211c,1539731342,-10
49,41.73975333,-86.09929167,circle1,red,233.2,70/70,b827eb1e211c,1539731345,-12
50,41.73975667,-86.09928667,circle1,red,232.7,70/70,b827eb1e211c,1539731348,-12
51,41.73975667,-86.09928833,circle1,red,232.5,70/70,b827eb1e211c,1539731351,-10
52,41.73976,-86.09929,circle1,red,232.6,70/70,b827eb1e211c,1539731354,-12
53,41.73976,-86.09929333,circle1,red,232.7,70/70,b827eb1e211c,1539731357,-12
54,41.73975833,-86.09929667,circle1,red,232.7,70/70,b827eb1e211c,1539731361,-12
55,41.73975667,-86.0993,circle1,red,232.6,70/70,b827eb1e211c,1539731364,-10
56,41.739755,-86.0993,circle1,red,232.7,70/70,b827eb1e211c,1539731367,-12
57,41.73975333,-86.09929833,circle1,red,232.9,70/70,b827eb1e211c,1539731370,-10
58,41.73975167,-86.09929333,circle1,red,232.2,70/70,b827eb1e211c,1539731373,-12
59,41.73974833,-86.09929333,circle1,red,231.8,70/70,b827eb1e211c,1539731376,-11
