pibs_payload/msg_num,pibs_payload/current_position/0,pibs_payload/current_position/1,,,pibs_payload/current_position/2,pibs_payload/wifi_qual,pibs_payload/source_id,pibs_payload/generation_time,pibs_payload/wifi_sig
3,41.73976,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539709516,-13
4,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539709520,-14
5,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539709523,-13
6,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731207,-15
10,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731220,-10
12,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731226,-11
13,41.73975833,-86.09928667,circle1,red,233.8,70/70,b827eb1e211c,1539731229,-12
24,41.73975833,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731264,-12
25,41.73975833,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731267,-11
26,41.73975833,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731270,-11
27,41.73975833,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731274,-12
28,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731277,-9
29,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731280,-8
30,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731283,-13
31,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731286,-13
32,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731289,-10
33,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731292,-12
34,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731296,-9
35,41.73975667,-86.09928833,circle1,red,233.7,70/70,b827eb1e211c,1539731299,-10
36,41.73975833,-86.09928667,circle1,red,233.6,70/70,b827eb1e211c,1539731302,-15
37,41.739755,-86.09929333,circle1,red,233.4,70/70,b827eb1e211c,1539731305,-13
38,41.739755,-86.09929333,circle1,red,233.4,70/70,b827eb1e211c,1539731308,-11
39,41.739755,-86.09929333,circle1,red,233.4,70/70,b827eb1e211c,1539731311,-12
40,41.739755,-86.09929333,circle1,red,233.4,70/70,b827eb1e211c,1539731315,-13
41,41.739755,-86.09929333,circle1,red,233.4,70/70,b827eb1e211c,1539731318,-12
42,41.739755,-86.09929333,circle1,red,233.3,70/70,b827eb1e211c,1539731321,-12
43,41.73975333,-86.09929333,circle1,red,233.3,70/70,b827eb1e211c,1539731324,-12
44,41.73975333,-86.09929333,circle1,red,233.3,70/70,b827eb1e211c,1539731327,-12
45,41.73975333,-86.09929333,circle1,red,233.3,70/70,b827eb1e211c,1539731330,-13
46,41.73975333,-86.09929333,circle1,red,233.3,70/70,b827eb1e211c,1539731334,-13
47,41.73975333,-86.09929333,circle1,red,233.3,70/70,b827eb1e211c,1539731337,-12
57,41.73975333,-86.09929833,circle1,red,232.9,70/70,b827eb1e211c,1539731368,-11
59,41.73974833,-86.09929333,circle1,red,231.8,70/70,b827eb1e211c,1539731375,-12
62,41.73974333,-86.09928833,circle1,red,231.6,70/70,b827eb1e211c,1539731384,-11
71,41.73975,-86.09937333,circle1,red,230.5,67/70,b827eb1e211c,1539731413,-44
72,41.73976167,-86.09938667,circle1,red,229.9,64/70,b827eb1e211c,1539731416,-56
73,41.73979667,-86.09940167,circle1,red,229.8,53/70,b827eb1e211c,1539731419,-57
74,41.739835,-86.099405,circle1,red,230.1,59/70,b827eb1e211c,1539731422,-48
75,41.73989,-86.09940333,circle1,red,230.3,68/70,b827eb1e211c,1539731426,-44
76,41.73992167,-86.0994,circle1,red,230.6,62/70,b827eb1e211c,1539731429,-43
77,41.73998333,-86.0994,circle1,red,231.4,58/70,b827eb1e211c,1539731432,-47
88,41.74047833,-86.09938167,circle1,red,239,26/70,b827eb1e211c,1539731467,-83
156,41.741425,-86.09790333,circle1,red,236.2,31/70,b827eb1e211c,1539731682,-69
157,41.74137667,-86.09787833,circle1,red,236.3,40/70,b827eb1e211c,1539731686,-70
3,41.73980667,-86.099245,circle1,yellow,226.3,70/70,b827eb96b93c,1539731200,0
4,41.73980667,-86.099245,circle1,yellow,226.3,70/70,b827eb96b93c,1539731203,0
5,41.73980833,-86.099245,circle1,yellow,226.3,70/70,b827eb96b93c,1539731206,0
6,41.73980833,-86.099245,circle1,yellow,226.3,70/70,b827eb96b93c,1539731209,0
