pp/msg_num,pp/loc/0,pp/loc/1,,,,pp/loc/2,pp/wq,pp/id,pp/time,pp/ws,,total,rcvd
296,41.71444333,-86.24113167,circle1,blue,296,230.5,70/70,b827eb96b93c,1539093832,0,,36,7
301,41.71449,-86.24090167,circle1,blue,301,233.9,70/70,b827eb96b93c,1539093848,0,,0.805555556,
321,41.71450833,-86.24157667,circle1,blue,321,238.9,70/70,b827eb96b93c,1539093911,0,,,
322,41.71451167,-86.24157333,circle1,blue,322,238.3,70/70,b827eb96b93c,1539093914,0,,,
326,41.71451167,-86.241555,circle1,blue,326,227.5,70/70,b827eb96b93c,1539093927,0,,,
330,41.714515,-86.24154333,circle1,blue,330,217.7,70/70,b827eb96b93c,1539093939,0,,,
332,41.71451167,-86.24153833,circle1,blue,332,215,70/70,b827eb96b93c,1539093945,0,,,
1647,41.71432667,-86.24182167,cross1,red,1647,218.5,48/70,b827ebefdb50,1539093721,-74,,1647,9
1648,41.71432667,-86.24182167,cross1,red,1648,218.6,47/70,b827ebefdb50,1539093724,-67,,1728,43
1653,41.71432667,-86.24182167,cross1,red,1653,218.6,45/70,b827ebefdb50,1539093740,-76,,81,34
1654,41.71432667,-86.24182167,cross1,red,1654,218.6,45/70,b827ebefdb50,1539093743,-79,,,0.580246914
1657,41.71432667,-86.24182167,cross1,red,1657,218.6,46/70,b827ebefdb50,1539093752,-69,,,
1662,41.71432667,-86.24182167,cross1,red,1662,218.6,56/70,b827ebefdb50,1539093768,-55,,,
1666,41.71432667,-86.24182167,cross1,red,1666,218.6,38/70,b827ebefdb50,1539093780,-70,,,
1669,41.71432667,-86.24182167,cross1,red,1669,218.6,40/70,b827ebefdb50,1539093790,-72,,,
1670,41.71432667,-86.24182167,cross1,red,1670,218.6,35/70,b827ebefdb50,1539093793,-70,,,
1671,41.71432667,-86.24182167,cross1,red,1671,218.6,50/70,b827ebefdb50,1539093796,-61,,,
1672,41.71432667,-86.24182167,cross1,red,1672,218.6,47/70,b827ebefdb50,1539093799,-62,,,
1673,41.71432667,-86.24182167,cross1,red,1673,218.6,48/70,b827ebefdb50,1539093802,-65,,,
1674,41.71432667,-86.24182167,cross1,red,1674,218.6,48/70,b827ebefdb50,1539093806,-65,,,
1679,41.71432667,-86.24182167,cross1,red,1679,218.6,44/70,b827ebefdb50,1539093821,-69,,,
1680,41.71432667,-86.24182167,cross1,red,1680,218.6,32/70,b827ebefdb50,1539093824,-64,,,
1681,41.71432667,-86.24182167,cross1,red,1681,218.6,47/70,b827ebefdb50,1539093828,-64,,,
1685,41.71432667,-86.24182167,cross1,red,1685,218.6,22/70,b827ebefdb50,1539093840,-71,,,
1686,41.71432667,-86.24182167,cross1,red,1686,218.6,39/70,b827ebefdb50,1539093843,-78,,,
1687,41.71432667,-86.24182167,cross1,red,1687,218.6,36/70,b827ebefdb50,1539093846,-72,,,
1688,41.71432667,-86.24182167,cross1,red,1688,218.6,31/70,b827ebefdb50,1539093850,-76,,,
1689,41.71432667,-86.24182167,cross1,red,1689,218.6,35/70,b827ebefdb50,1539093853,-76,,,
1690,41.71432667,-86.24182167,cross1,red,1690,218.6,38/70,b827ebefdb50,1539093856,-72,,,
1692,41.71432667,-86.24182167,cross1,red,1692,218.6,37/70,b827ebefdb50,1539093862,-72,,,
1695,41.71432667,-86.24182167,cross1,red,1695,218.6,38/70,b827ebefdb50,1539093871,-71,,,
1696,41.71432667,-86.24182167,cross1,red,1696,218.6,41/70,b827ebefdb50,1539093875,-69,,,
1698,41.71432667,-86.24182167,cross1,red,1698,218.7,42/70,b827ebefdb50,1539093881,-69,,,
1704,41.71432667,-86.24182167,cross1,red,1704,218.7,43/70,b827ebefdb50,1539093900,-67,,,
1706,41.71432667,-86.24182167,cross1,red,1706,218.7,35/70,b827ebefdb50,1539093906,-70,,,
1716,41.71432667,-86.24182167,cross1,red,1716,218.7,21/70,b827ebefdb50,1539093937,-84,,,
1719,41.71432667,-86.24182167,cross1,red,1719,218.7,33/70,b827ebefdb50,1539093947,-82,,,
1723,41.71432667,-86.24182167,cross1,red,1723,218.7,31/70,b827ebefdb50,1539093959,-81,,,
1724,41.71432667,-86.24182167,cross1,red,1724,218.7,26/70,b827ebefdb50,1539093963,-78,,,
1725,41.71432667,-86.24182167,cross1,red,1725,218.7,26/70,b827ebefdb50,1539093966,-84,,,
1727,41.71432667,-86.24182167,cross1,red,1727,218.7,19/70,b827ebefdb50,1539093972,-86,,,
1728,41.71432667,-86.24182167,cross1,red,1728,218.7,27/70,b827ebefdb50,1539093975,-91,,1728,43
457,41.71437667,-86.24189167,circle1,brown,457,218.4,30/70,b827ebf014ce,1539093719,-95,,,
458,41.71437833,-86.24189,circle1,brown,458,218.4,16/70,b827ebf014ce,1539093722,-94,,,
459,41.71437833,-86.24189333,circle1,brown,459,218.4,28/70,b827ebf014ce,1539093725,-85,,,
460,41.71437333,-86.2419,circle1,brown,460,218.5,33/70,b827ebf014ce,1539093728,-93,,,
461,41.71436833,-86.2419,circle1,brown,461,218.5,28/70,b827ebf014ce,1539093731,-83,,,
462,41.71436333,-86.2419,circle1,brown,462,218.6,31/70,b827ebf014ce,1539093734,-79,,,
463,41.71436167,-86.2419,circle1,brown,463,218.6,29/70,b827ebf014ce,1539093737,-96,,,
464,41.71435833,-86.241905,circle1,brown,464,218.6,31/70,b827ebf014ce,1539093740,-85,,,
465,41.71435833,-86.24191,circle1,brown,465,218.6,30/70,b827ebf014ce,1539093744,-96,,,
466,41.71436,-86.24191,circle1,brown,466,218.6,29/70,b827ebf014ce,1539093747,-79,,,
467,41.71435833,-86.24191,circle1,brown,467,218.6,30/70,b827ebf014ce,1539093750,-81,,,
468,41.71435833,-86.24190667,circle1,brown,468,218.6,30/70,b827ebf014ce,1539093753,-82,,,
469,41.71436167,-86.2419,circle1,brown,469,218.6,32/70,b827ebf014ce,1539093756,-93,,,
470,41.71436667,-86.24189667,circle1,brown,470,218.6,28/70,b827ebf014ce,1539093759,-88,,,
471,41.71436833,-86.24189333,circle1,brown,471,218.6,52/70,b827ebf014ce,1539093762,-74,,,
472,41.71436833,-86.24189667,circle1,brown,472,218.6,44/70,b827ebf014ce,1539093765,-66,,,
473,41.71436667,-86.24191333,circle1,brown,473,219.4,49/70,b827ebf014ce,1539093769,-65,,,
474,41.71436833,-86.24192833,circle1,brown,474,220.9,45/70,b827ebf014ce,1539093772,-67,,,
475,41.714375,-86.24194333,circle1,brown,475,223.4,44/70,b827ebf014ce,1539093775,-64,,,
