pp/msg_num,pp/loc/0,pp/loc/1,,,,pp/loc/2,pp/wq,pp/id,pp/time,pp/ws,,,
260,41.71454667,-86.24189333,circle1,blue,260,217.5,70/70,b827eb96b93c,1539093720,0,260,2,
261,41.71454833,-86.2419,circle1,blue,261,217.5,70/70,b827eb96b93c,1539093723,0,346,48,
265,41.71455333,-86.24190667,circle1,blue,265,217.3,70/70,b827eb96b93c,1539093735,0,86,46,0.534883721
266,41.714555,-86.24190833,circle1,blue,266,217.3,70/70,b827eb96b93c,1539093738,0,,,0.465116279
271,41.71455833,-86.24191833,circle1,blue,271,217.2,70/70,b827eb96b93c,1539093754,0,,,
273,41.71456167,-86.241925,circle1,blue,273,217.2,70/70,b827eb96b93c,1539093760,0,,,
274,41.71456333,-86.24192833,circle1,blue,274,217.2,70/70,b827eb96b93c,1539093763,0,,,
278,41.71453,-86.24195167,circle1,blue,278,217.6,70/70,b827eb96b93c,1539093776,0,,,
280,41.714515,-86.24195833,circle1,blue,280,220.1,70/70,b827eb96b93c,1539093782,0,,,
281,41.71450833,-86.24194333,circle1,blue,281,222.4,70/70,b827eb96b93c,1539093785,0,,,
282,41.71451,-86.24194,circle1,blue,282,224.7,70/70,b827eb96b93c,1539093788,0,,,
283,41.71450833,-86.241935,circle1,blue,283,225.4,70/70,b827eb96b93c,1539093792,0,,,
285,41.714475,-86.24188833,circle1,blue,285,225,70/70,b827eb96b93c,1539093798,0,,,
286,41.71446167,-86.24175,circle1,blue,286,224.5,70/70,b827eb96b93c,1539093801,0,,,
287,41.71445,-86.24166,circle1,blue,287,223.4,70/70,b827eb96b93c,1539093804,0,,,
288,41.71444167,-86.24156833,circle1,blue,288,222.7,70/70,b827eb96b93c,1539093807,0,,,
289,41.71444333,-86.24153333,circle1,blue,289,223.5,70/70,b827eb96b93c,1539093810,0,,,
290,41.714455,-86.241515,circle1,blue,290,223.8,70/70,b827eb96b93c,1539093814,0,,,
292,41.71445333,-86.24129667,circle1,blue,292,226.2,70/70,b827eb96b93c,1539093820,0,,,
294,41.71445333,-86.24119,circle1,blue,294,227.4,70/70,b827eb96b93c,1539093826,0,,,
295,41.71445167,-86.241175,circle1,blue,295,227.7,70/70,b827eb96b93c,1539093829,0,,,
296,41.71444333,-86.24113167,circle1,blue,296,230.5,70/70,b827eb96b93c,1539093832,0,,,
297,41.71444667,-86.24111167,circle1,blue,297,232.4,70/70,b827eb96b93c,1539093835,0,,,
298,41.71444667,-86.24107,circle1,blue,298,232.8,70/70,b827eb96b93c,1539093839,0,,,
301,41.71449,-86.24090167,circle1,blue,301,233.9,70/70,b827eb96b93c,1539093848,0,,,
304,41.71451333,-86.240765,circle1,blue,304,234.4,70/70,b827eb96b93c,1539093857,0,,,
305,41.71451333,-86.24077,circle1,blue,305,234.3,70/70,b827eb96b93c,1539093861,0,,,
307,41.71452667,-86.24085333,circle1,blue,307,234.7,70/70,b827eb96b93c,1539093867,0,,,
308,41.714525,-86.24088833,circle1,blue,308,235,70/70,b827eb96b93c,1539093870,0,,,
311,41.714515,-86.24090833,circle1,blue,311,239.2,70/70,b827eb96b93c,1539093879,0,,,
312,41.71451667,-86.24091,circle1,blue,312,239.3,70/70,b827eb96b93c,1539093883,0,,,
314,41.71451,-86.24100667,circle1,blue,314,238.9,70/70,b827eb96b93c,1539093889,0,,,
315,41.71450833,-86.24115667,circle1,blue,315,238.1,70/70,b827eb96b93c,1539093892,0,,,
318,41.714505,-86.24148333,circle1,blue,318,239.4,70/70,b827eb96b93c,1539093901,0,,,
319,41.71450667,-86.24152833,circle1,blue,319,239.3,70/70,b827eb96b93c,1539093905,0,,,
320,41.71451,-86.24157833,circle1,blue,320,239,70/70,b827eb96b93c,1539093908,0,,,
321,41.71450833,-86.24157667,circle1,blue,321,238.9,70/70,b827eb96b93c,1539093911,0,,,
322,41.71451167,-86.24157333,circle1,blue,322,238.3,70/70,b827eb96b93c,1539093914,0,,,
325,41.71450667,-86.241565,circle1,blue,325,230,70/70,b827eb96b93c,1539093923,0,,,
